"Notes","Year","Year Code","State","State Code",Births
,"2020","2020","District of Columbia","11",8874
,"2020","2020","Florida","12",209671
,"2020","2020","Georgia","13",122473
,"2020","2020","Hawaii","15",15785
,"2020","2020","Idaho","16",21533
,"2020","2020","Illinois","17",133298
,"2020","2020","Indiana","18",78616
,"2020","2020","Iowa","19",36114
,"2020","2020","Kansas","20",34376
,"2020","2020","Kentucky","21",51668
,"2020","2020","Louisiana","22",57328
,"2020","2020","Maine","23",11539
,"2020","2020","Maryland","24",68554
,"2020","2020","Massachusetts","25",66428
,"2020","2020","Michigan","26",104074
,"2020","2020","Minnesota","27",63443
,"2020","2020","Mississippi","28",35473
,"2020","2020","Missouri","29",69285
,"2020","2020","Montana","30",10791
,"2020","2020","Nebraska","31",24291
,"2020","2020","Nevada","32",33653
,"2020","2020","New Hampshire","33",11791
,"2020","2020","New Jersey","34",97954
,"2020","2020","New Mexico","35",21903
,"2020","2020","New York","36",209338
,"2020","2020","North Carolina","37",116730
,"2020","2020","North Dakota","38",10059
,"2020","2020","Ohio","39",129191
,"2020","2020","Oklahoma","40",47623
,"2020","2020","Oregon","41",39820
,"2020","2020","Pennsylvania","42",130693
,"2020","2020","Rhode Island","44",10101
,"2020","2020","South Carolina","45",55704
,"2020","2020","South Dakota","46",10960
,"2020","2020","Tennessee","47",78689
,"2020","2020","Texas","48",368190
,"2020","2020","Utah","49",45702
,"2020","2020","Vermont","50",5133
,"2020","2020","Virginia","51",94749
,"2020","2020","Washington","53",83086
,"2020","2020","West Virginia","54",17323
,"2020","2020","Wisconsin","55",60594
,"2020","2020","Wyoming","56",6128
"Total","2020","2020",,,3613647
,"2021","2021","Alabama","01",58054
,"2021","2021","Alaska","02",9367
,"2021","2021","Arizona","04",77916
,"2021","2021","Arkansas","05",35965
,"2021","2021","California","06",420608
,"2021","2021","Colorado","08",62949
,"2021","2021","Connecticut","09",35670
,"2021","2021","Delaware","10",10482
,"2021","2021","District of Columbia","11",8660
,"2021","2021","Florida","12",216260
,"2021","2021","Georgia","13",124073
,"2021","2021","Hawaii","15",15620
,"2021","2021","Idaho","16",22427
,"2021","2021","Illinois","17",132189
,"2021","2021","Indiana","18",79946
,"2021","2021","Iowa","19",36835
,"2021","2021","Kansas","20",34705
,"2021","2021","Kentucky","21",52214
,"2021","2021","Louisiana","22",57437
,"2021","2021","Maine","23",12006
,"2021","2021","Maryland","24",68285
,"2021","2021","Massachusetts","25",69137
,"2021","2021","Michigan","26",104980
,"2021","2021","Minnesota","27",64425
,"2021","2021","Mississippi","28",35156
,"2021","2021","Missouri","29",69453
,"2021","2021","Montana","30",11231
,"2021","2021","Nebraska","31",24609
,"2021","2021","Nevada","32",33686
,"2021","2021","New Hampshire","33",12625
,"2021","2021","New Jersey","34",101497
,"2021","2021","New Mexico","35",21391
,"2021","2021","New York","36",210742
,"2021","2021","North Carolina","37",120466
,"2021","2021","North Dakota","38",10112
,"2021","2021","Ohio","39",129791
,"2021","2021","Oklahoma","40",48410
,"2021","2021","Oregon","41",40914
,"2021","2021","Pennsylvania","42",132622
,"2021","2021","Rhode Island","44",10464
,"2021","2021","South Carolina","45",57185
,"2021","2021","South Dakota","46",11369
,"2021","2021","Tennessee","47",81717
,"2021","2021","Texas","48",373594
,"2021","2021","Utah","49",46712
,"2021","2021","Vermont","50",5384
,"2021","2021","Virginia","51",95825
,"2021","2021","Washington","53",83911
,"2021","2021","West Virginia","54",17198
,"2021","2021","Wisconsin","55",61781
,"2021","2021","Wyoming","56",6237
"Total","2021","2021",,,3664292
,"2022","2022","Alabama","01",58149
,"2022","2022","Alaska","02",9359
,"2022","2022","Arizona","04",78547
,"2022","2022","Arkansas","05",35471
,"2022","2022","California","06",419104
,"2022","2022","Colorado","08",62383
,"2022","2022","Connecticut","09",35332
,"2022","2022","Delaware","10",10816
,"2022","2022","District of Columbia","11",8075
,"2022","2022","Florida","12",224433
,"2022","2022","Georgia","13",126130
,"2022","2022","Hawaii","15",15535
,"2022","2022","Idaho","16",22391
,"2022","2022","Illinois","17",128350
,"2022","2022","Indiana","18",79649
,"2022","2022","Iowa","19",36506
,"2022","2022","Kansas","20",34401
,"2022","2022","Kentucky","21",52315
,"2022","2022","Louisiana","22",56479
,"2022","2022","Maine","23",12093
,"2022","2022","Maryland","24",68782
,"2022","2022","Massachusetts","25",68584
,"2022","2022","Michigan","26",102321
,"2022","2022","Minnesota","27",64015
,"2022","2022","Mississippi","28",34675
,"2022","2022","Missouri","29",68985
,"2022","2022","Montana","30",11175
,"2022","2022","Nebraska","31",24345
,"2022","2022","Nevada","32",33193
,"2022","2022","New Hampshire","33",12077
,"2022","2022","New Jersey","34",102893
,"2022","2022","New Mexico","35",21614
,"2022","2022","New York","36",207774
,"2022","2022","North Carolina","37",121562
,"2022","2022","North Dakota","38",9567
,"2022","2022","Ohio","39",128231
,"2022","2022","Oklahoma","40",48332
,"2022","2022","Oregon","41",39493
,"2022","2022","Pennsylvania","42",130252
,"2022","2022","Rhode Island","44",10269
,"2022","2022","South Carolina","45",57820
,"2022","2022","South Dakota","46",11201
,"2022","2022","Tennessee","47",82265
,"2022","2022","Texas","48",389741
,"2022","2022","Utah","49",45768
,"2022","2022","Vermont","50",5316
,"2022","2022","Virginia","51",95630
,"2022","2022","Washington","53",83333
,"2022","2022","West Virginia","54",16929
,"2022","2022","Wisconsin","55",60049
,"2022","2022","Wyoming","56",6049
"Total","2022","2022",,,3667758
,"2023","2023","Alabama","01",57858
,"2023","2023","Alaska","02",9015
,"2023","2023","Arizona","04",78096
,"2023","2023","Arkansas","05",35264
,"2023","2023","California","06",400108
,"2023","2023","Colorado","08",61494
,"2023","2023","Connecticut","09",34559
,"2023","2023","Delaware","10",10427
,"2023","2023","District of Columbia","11",7896
,"2023","2023","Florida","12",221410
,"2023","2023","Georgia","13",125120
,"2023","2023","Hawaii","15",14808
,"2023","2023","Idaho","16",22397
,"2023","2023","Illinois","17",124820
,"2023","2023","Indiana","18",79000
,"2023","2023","Iowa","19",36052
,"2023","2023","Kansas","20",34065
,"2023","2023","Kentucky","21",51984
,"2023","2023","Louisiana","22",54927
,"2023","2023","Maine","23",11627
,"2023","2023","Maryland","24",65594
,"2023","2023","Massachusetts","25",67093
,"2023","2023","Michigan","26",99124
,"2023","2023","Minnesota","27",61715
,"2023","2023","Mississippi","28",34459
,"2023","2023","Missouri","29",67123
,"2023","2023","Montana","30",11078
,"2023","2023","Nebraska","31",24111
,"2023","2023","Nevada","32",31794
,"2023","2023","New Hampshire","33",11936
,"2023","2023","New Jersey","34",101001
,"2023","2023","New Mexico","35",20951
,"2023","2023","New York","36",203612
,"2023","2023","North Carolina","37",120082
,"2023","2023","North Dakota","38",9647
,"2023","2023","Ohio","39",126896
,"2023","2023","Oklahoma","40",47909
,"2023","2023","Oregon","41",38298
,"2023","2023","Pennsylvania","42",126951
,"2023","2023","Rhode Island","44",9805
,"2023","2023","South Carolina","45",57729
,"2023","2023","South Dakota","46",11201
,"2023","2023","Tennessee","47",83021
,"2023","2023","Texas","48",387945
,"2023","2023","Utah","49",45019
,"2023","2023","Vermont","50",5065
,"2023","2023","Virginia","51",92649
,"2023","2023","Washington","53",80932
,"2023","2023","West Virginia","54",16606
,"2023","2023","Wisconsin","55",59754
,"2023","2023","Wyoming","56",5990
"Total","2023","2023",,,3596017
,"2024","2024","Alabama","01",57934
,"2024","2024","Alaska","02",8943
,"2024","2024","Arizona","04",78711
,"2024","2024","Arkansas","05",35395
,"2024","2024","California","06",402075
,"2024","2024","Colorado","08",64268
,"2024","2024","Connecticut","09",34599
,"2024","2024","Delaware","10",10550
,"2024","2024","District of Columbia","11",7616
,"2024","2024","Florida","12",224389
,"2024","2024","Georgia","13",126437
,"2024","2024","Hawaii","15",14917
,"2024","2024","Idaho","16",23276
,"2024","2024","Illinois","17",125731
,"2024","2024","Indiana","18",80257
,"2024","2024","Iowa","19",36436
,"2024","2024","Kansas","20",33984
,"2024","2024","Kentucky","21",52913
,"2024","2024","Louisiana","22",53305
,"2024","2024","Maine","23",11601
,"2024","2024","Maryland","24",65797
,"2024","2024","Massachusetts","25",68184
,"2024","2024","Michigan","26",99525
,"2024","2024","Minnesota","27",62110
,"2024","2024","Mississippi","28",33473
,"2024","2024","Missouri","29",67998
,"2024","2024","Montana","30",11331
,"2024","2024","Nebraska","31",24785
,"2024","2024","Nevada","32",32381
,"2024","2024","New Hampshire","33",11770
,"2024","2024","New Jersey","34",101372
,"2024","2024","New Mexico","35",21328
,"2024","2024","New York","36",205489
,"2024","2024","North Carolina","37",122856
,"2024","2024","North Dakota","38",9634
,"2024","2024","Ohio","39",126795
,"2024","2024","Oklahoma","40",47962
,"2024","2024","Oregon","41",38963
,"2024","2024","Pennsylvania","42",127299
,"2024","2024","Rhode Island","44",10009
,"2024","2024","South Carolina","45",58768
,"2024","2024","South Dakota","46",11451
,"2024","2024","Tennessee","47",83833
,"2024","2024","Texas","48",390828
,"2024","2024","Utah","49",46664
,"2024","2024","Vermont","50",5023
,"2024","2024","Virginia","51",94054
,"2024","2024","Washington","53",83118
,"2024","2024","West Virginia","54",17022
,"2024","2024","Wisconsin","55",59686
,"2024","2024","Wyoming","56",6089
"Total","2024","2024",,,3628934
"Total",,,,,29565400
"---"
"Dataset: Natality, 2007-2024"
"Query Parameters:"
"Year: 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024"
"Group By: Year; State"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: May 17, 2026 4:11:43 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2007-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-current.html on May 17, 2026 4:11:43 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
